owner/repo,score,risk,velocity,responsiveness,community,freshness,trust,social,signals,expectedRisk,expectedScoreRange,match,error
request/request,4,critical,0,5,6,4,4,-15,No commits in the last 75 months | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | No releases published | No SECURITY.md found | No FUNDING.yml found | README explicitly marks this project as deprecated | 📦 15.1M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,critical,0-20,true,
tj/jade,21,critical,0,0,6,8,4,3,No commits in the last 54 days | No human commits in the last 30 days — maintainer may have stepped back | Issues left unanswered for 1031 days on average | No license detected | Financially supported via GitHub Sponsors or Open Collective | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,critical,0-25,true,
bower/bower,18,critical,0,5,6,0,4,3,No commits in the last 19 months | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | No release in the last 64 months | Financially supported via GitHub Sponsors or Open Collective | 📦 342k weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,critical,0-35,true,
substack/browserify,,,,,,,,,,critical,0-35,false,Repository substack/browserify not found. Check the spelling or make sure it's public.
moment/moment,33,critical,12,0,6,4,4,7,"No commits in the last 26 months | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | Issues left unanswered for 171 days on average | No releases published | No SECURITY.md found | No FUNDING.yml found | README signals maintenance mode — no new features, bug-fixes or security patches only | 2 open ""help wanted"" issues — community contributions welcome | 📦 30.8M weekly npm downloads",high,20-60,true,
pugjs/pug,21,critical,0,0,6,8,4,3,No commits in the last 54 days | No human commits in the last 30 days — maintainer may have stepped back | Issues left unanswered for 1031 days on average | No license detected | Financially supported via GitHub Sponsors or Open Collective | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,high,20-60,true,
caolan/async,39,high,12,10,6,0,4,7,"No recent commits detected | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | No release in the last 110 months | No SECURITY.md found | No FUNDING.yml found | 4 open ""help wanted"" issues — community contributions welcome | 📦 83.1M weekly npm downloads",medium,35-72,true,
lodash/lodash,43,high,3,5,8,14,4,9,"Commit velocity down 83% over the last 30 days | Critical bus factor: only 1 active contributor in the last 30 days | No FUNDING.yml found | 6 open ""help wanted"" issues — community contributions welcome | GitHub Discussions enabled on this repository | 📦 142.2M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity",medium,30-70,true,
expressjs/express,42,high,3,5,8,13,4,9,"Commit velocity down 71% over the last 30 days | Critical bus factor: only 1 active contributor in the last 30 days | Maintainers very responsive (< 24h average) | No SECURITY.md found | No FUNDING.yml found | 2 open ""help wanted"" issues — community contributions welcome | GitHub Discussions enabled on this repository | 📦 92.1M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity",medium,35-75,true,
typicode/json-server,28,critical,0,5,6,8,4,5,"No commits in the last 44 days | Commit velocity down 100% over the last 30 days | No human commits in the last 30 days — maintainer may have stepped back | Single maintainer risk: one contributor made 86% of commits in the last 90 days | No SECURITY.md found | 1 open ""help wanted"" issues — community contributions welcome | 📦 296k weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity",medium,20-55,true,
axios/axios,95,high,25,20,15,15,10,10,Commit velocity up 213% over the last 30 days | 42 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | README explicitly marks this project as deprecated | Financially supported via GitHub Sponsors or Open Collective | GitHub Discussions enabled on this repository | 📦 98.2M weekly npm downloads | ✅ Large project baseline: social score floored due to established community indicators,medium,55-100,true,
sindresorhus/got,62,medium,25,0,8,15,4,10,Single maintainer risk: one contributor made 100% of commits in the last 90 days | Critical bus factor: only 1 active contributor in the last 30 days | Issues left unanswered for 438 days on average | No SECURITY.md found | No FUNDING.yml found | GitHub Discussions enabled on this repository | 📦 32.8M weekly npm downloads | ✅ Large project baseline: social score floored due to established community indicators,medium,40-75,true,
vitejs/vite,82,low,15,20,15,15,7,10,22 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No FUNDING.yml found | Financially supported via GitHub Sponsors or Open Collective | GitHub Discussions enabled on this repository | ✅ Large project baseline: social score floored due to established community indicators,low,65-100,true,
tailwindlabs/tailwindcss,92,low,25,20,15,15,7,10,11 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No SECURITY.md found | GitHub Discussions enabled on this repository | ✅ Large project baseline: social score floored due to established community indicators,low,65-100,true,
facebook/react,82,low,15,20,15,15,7,10,14 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No FUNDING.yml found | ✅ Large project baseline: social score floored due to established community indicators,medium,55-90,true,
vercel/next.js,79,medium,25,10,15,15,4,10,"Commit velocity up 717% over the last 30 days | 42 active contributors in the last 30 days | No SECURITY.md found | No FUNDING.yml found | 13 open issues labeled ""stale"" — limited maintenance bandwidth | GitHub Discussions enabled on this repository | ✅ Large project baseline: social score floored due to established community indicators",low,70-100,true,
microsoft/vscode,92,low,25,20,15,15,7,10,"59 active contributors in the last 30 days | Maintainers very responsive (< 24h average) | No FUNDING.yml found | 502 open ""help wanted"" issues — community contributions welcome | 260 open issues labeled ""stale"" — limited maintenance bandwidth | 📦 7 weekly npm downloads | ✅ Large project baseline: social score floored due to established community indicators",low,65-100,true,
