owner/repo,score,risk,velocity,responsiveness,community,freshness,trust,social,signals,expectedRisk,expectedScoreRange,match,error
jasmine/jasmine-npm,59,high,10,20,8,14,4,3,Single maintainer risk: one contributor made 100% of commits in the last 90 days | Critical bus factor: only 1 active contributor in the last 30 days | Maintainers very responsive (< 24h average) | No SECURITY.md found | No FUNDING.yml found | 📦 1.3M weekly npm downloads,high,35-65,true,
caolan/async,39,high,12,10,6,0,4,7,"No recent commits detected | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | No release in the last 110 months | No SECURITY.md found | No FUNDING.yml found | 4 open ""help wanted"" issues — community contributions welcome | 📦 83.1M weekly npm downloads",high,25-50,true,
rstacruz/nprogress,29,critical,12,0,6,0,4,7,No commits in the last 73 months | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | Issues left unanswered for 595 days on average | No release in the last 73 months | No SECURITY.md found | No FUNDING.yml found | 📦 2.6M weekly npm downloads,high,15-40,true,
visionmedia/superagent,16,critical,0,0,6,6,4,0,No commits in the last 121 days | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | Issues left unanswered for 491 days on average | No FUNDING.yml found | 📦 18.0M weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,critical,0-25,true,
hapijs/hapi,56,high,10,20,8,7,4,7,Critical bus factor: only 1 active contributor in the last 30 days | Maintainers very responsive (< 24h average) | No release in the last 39 months | No SECURITY.md found | No FUNDING.yml found | 📦 1.3M weekly npm downloads,high,35-65,true,
tgriesser/knex,79,medium,25,12,13,15,4,10,"No SECURITY.md found | No FUNDING.yml found | 1 open ""help wanted"" issues — community contributions welcome | GitHub Discussions enabled on this repository | 📦 3.9M weekly npm downloads | ✅ Large project baseline: social score floored due to established community indicators",low,65-85,true,
marko-js/marko,71,medium,21,10,8,15,7,10,No FUNDING.yml found | Active community platform detected (Discord or Slack) | Financially supported via GitHub Sponsors or Open Collective | ✅ Large project baseline: social score floored due to established community indicators,low,60-85,true,
aurelia/framework,22,critical,0,5,6,0,4,7,"No commits in the last 45 months | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | Maintainers very responsive (< 24h average) | No release in the last 49 months | No SECURITY.md found | Active community platform detected (Discord or Slack) | 4 open ""help wanted"" issues — community contributions welcome | 📦 13k weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity",critical,0-30,true,
riot/riot,28,critical,0,0,6,8,4,10,No commits in the last 48 days | No human commits in the last 30 days — maintainer may have stepped back | Issues left unanswered for 18 days on average | No SECURITY.md found | Active community platform detected (Discord or Slack) | Financially supported via GitHub Sponsors or Open Collective | GitHub Discussions enabled on this repository | 📦 5k weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,critical,0-35,true,
totaljs/framework,18,critical,0,5,6,0,4,3,No commits in the last 25 months | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | No release in the last 70 months | No SECURITY.md found | GitHub Discussions enabled on this repository | 📦 3k weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,critical,0-25,true,
balderdashy/sails,23,critical,0,5,6,4,4,4,"No commits in the last 79 days | No human commits in the last 30 days — maintainer may have stepped back | Maintainers very responsive (< 24h average) | No release in the last 23 months | No SECURITY.md found | No FUNDING.yml found | 15 open ""help wanted"" issues — community contributions welcome | 📦 33k weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity",critical,0-30,true,
krakenjs/kraken-js,16,critical,0,5,6,1,4,0,No commits in the last 269 days | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | No release in the last 54 months | No FUNDING.yml found | 📦 2k weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,critical,0-20,true,
strongloop/loopback,10,critical,0,5,6,0,4,-5,No commits in the last 62 months | No commit activity in the last 90 days | No human commits in the last 30 days — maintainer may have stepped back | No release in the last 111 months | No SECURITY.md found | No FUNDING.yml found | 📦 45k weekly npm downloads | ⚠️ Low activity override: responsiveness and trust scores capped due to near-zero commit velocity,critical,0-20,true,
